RELEVE_ID,SPECIES_NAME,DOMIN
1,'Deschampsia cespitosa',8
1,'Dactylis glomerata',8
1,'Holcus lanatus',7
1,'Poa pratensis',10
2,'Dactylis glomerata',9
2,'Molinia caerulea',7
2,'Briza media',10
3,'Poa pratensis',9
3,'Agrostis stolonifera',9
3,'Equisetum species',7
3,'Holcus lanatus',8
4,'Dactylis glomerata',9
4,'Holcus lanatus',9
4,'Anthoxanthum odoratum',9
5,'Dactylis glomerata',8
5,'Anthoxanthum odoratum',7
5,'Briza media',9
5,'Agrostis stolonifera',7
6,'Briza media',7
6,'Anthoxanthum odoratum',8
7,'Festuca pratensis',9
7,'Poa trivialis',10
7,'Holcus lanatus',7
7,'Molinia caerulea',8
8,'Dactylis glomerata',10
8,'Briza media',8
8,'Equisetum species',10
8,'Poa pratensis',8
9,'Festuca rubra',9
9,'Agrostis stolonifera',8
9,'Dactylis glomerata',9
9,'Molinia caerulea',9
10,'Poa trivialis',7
10,'Holcus lanatus',7
11,'Equisetum species',8
11,'Festuca pratensis',7
11,'Dactylis glomerata',10
12,'Poa trivialis',9
12,'Holcus lanatus',9
12,'Festuca rubra',10
13,'Festuca rubra',8
13,'Anthoxanthum odoratum',9
14,'Deschampsia cespitosa',8
14,'Poa trivialis',9
15,'Equisetum species',9
15,'Poa trivialis',7
15,'Molinia caerulea',10
16,'Molinia caerulea',9
16,'Dactylis glomerata',7
16,'Poa pratensis',9
17,'Molinia caerulea',7
17,'Poa pratensis',10
17,'Dactylis glomerata',8
17,'Holcus lanatus',7
18,'Anthoxanthum odoratum',9
18,'Equisetum species',9
18,'Agrostis stolonifera',10
19,'Dactylis glomerata',10
19,'Molinia caerulea',8
20,'Festuca rubra',8
20,'Equisetum species',7
20,'Deschampsia cespitosa',10
22,'Rumex acetosa',10
22,'Ranunculus acris',9
22,'Festuca pratensis',8
22,'Agrostis stolonifera',10
22,'Poa pratensis',9
22,'Anthoxanthum odoratum',8
23,'Taraxacum agg',8
23,'Deschampsia cespitosa',9
23,'Festuca pratensis',10
23,'Juncus effusus',8
23,'Dactylis glomerata',8
23,'Rhinanthus minor',7
24,'Molinia caerulea',9
24,'Ranunculus acris',10
24,'Anthoxanthum odoratum',10
24,'Rhinanthus minor',8
24,'Holcus lanatus',7
24,'Poa pratensis',9
25,'Festuca rubra',10
25,'Taraxacum agg',10
25,'Agrostis stolonifera',7
25,'Poa trivialis',10
25,'Ranunculus repens',8
25,'Molinia caerulea',8
25,'Equisetum species',9
25,'Rumex acetosa',10
26,'Ranunculus repens',9
26,'Briza media',7
26,'Festuca rubra',9
26,'Taraxacum agg',7
26,'Juncus effusus',9
26,'Festuca pratensis',10
26,'Anthoxanthum odoratum',10
26,'Rhinanthus minor',10
27,'Molinia caerulea',10
27,'Dactylis glomerata',10
27,'Rumex acetosa',8
27,'Briza media',10
27,'Deschampsia cespitosa',8
27,'Ranunculus repens',10
27,'Juncus effusus',10
27,'Festuca rubra',8
28,'Festuca rubra',8
28,'Dactylis glomerata',10
28,'Molinia caerulea',9
28,'Deschampsia cespitosa',9
28,'Rumex acetosa',10
28,'Briza media',9
28,'Equisetum species',8
28,'Holcus lanatus',9
28,'Agrostis stolonifera',10
29,'Agrostis stolonifera',8
29,'Poa trivialis',7
29,'Rhinanthus minor',9
29,'Equisetum species',8
29,'Briza media',7
29,'Ranunculus repens',9
30,'Ranunculus repens',8
30,'Juncus effusus',8
30,'Ranunculus acris',9
30,'Anthoxanthum odoratum',8
30,'Holcus lanatus',9
30,'Rumex acetosa',9
30,'Dactylis glomerata',8
30,'Poa trivialis',10
30,'Taraxacum agg',7
30,'Deschampsia cespitosa',7
31,'Anthoxanthum odoratum',8
31,'Agrostis stolonifera',8
31,'Ranunculus acris',9
31,'Equisetum species',7
31,'Poa trivialis',10
31,'Molinia caerulea',9
31,'Festuca pratensis',7
31,'Juncus effusus',10
31,'Briza media',9
31,'Poa pratensis',7
32,'Festuca rubra',9
32,'Taraxacum agg',8
32,'Poa pratensis',7
32,'Molinia caerulea',10
32,'Agrostis stolonifera',8
32,'Anthoxanthum odoratum',9
32,'Ranunculus acris',8
32,'Deschampsia cespitosa',10
32,'Poa trivialis',8
32,'Holcus lanatus',10
32,'Rumex acetosa',10
32,'Ranunculus repens',7
