Achillea millefolium
Angelica sylvestris
Brachythecium mildeanum
Briza media
Calliergonella cuspidata
Campylium stellatum v. protensum
Carex disticha
Carex flacca
Carex panicea
Centaurea nigra
Cirsium dissectum
Cirsium palustre
Dactylis glomerata
Equisetum species
Euphrasia officinalis ag.
Filipendula ulmaria
Helictotrichon pubescens
Plantago lanceolata
Primula veris
Ranunculus acris
Ranunculus repens
Rhinanthus minor
Rhytidiadelphus squarrosus
Thalictrum flavum
Trifolium pratense
Brachythecium mildeanum
Calliergonella cuspidata
Carex panicea
Carex pulicaris
Centaurea nigra
Equisetum species
Euphrasia officinalis ag.
Festuca rubra
Filipendula ulmaria
Fissidens adianthoides
Lophocolea bidentata
Plantago lanceolata
Rhytidiadelphus squarrosus
Succisa pratensis
Thalictrum flavum
Trifolium pratense
Valeriana officinalis
Anthoxanthum odoratum
Bellis perennis
Briza media
Bromopsis erecta
Calliergonella cuspidata
Cardamine pratensis
Carex panicea
Centaurea nigra
Cerastium fontanum
Cirsium dissectum
Crepis capillaris
Cynosurus cristatus
Equisetum species
Euphrasia officinalis ag.
Festuca pratensis
Festuca rubra
Filipendula ulmaria
Helictotrichon pubescens
Holcus lanatus
Luzula campestris
Lychnis flos-cuculi
Plantago lanceolata
Prunella vulgaris
Ranunculus acris
Rhinanthus minor
Rumex acetosa
Trifolium pratense
Angelica sylvestris
Anthoxanthum odoratum
Carex panicea
Carex pulicaris
Centaurea nigra
Cirsium dissectum
Cirsium palustre
Crepis capillaris
Deschampsia cespitosa
Equisetum species
Festuca rubra
Filipendula ulmaria
Holcus lanatus
Iris pseudacorus
Molinia caerulea
Plantago lanceolata
Ranunculus acris
Succisa pratensis
Taraxacum officinale ag.
Thalictrum flavum
Trifolium repens
Valeriana officinalis
Holcus lanatus
Dactylis glomerata
Helictotrichon pubescens
Briza media
Anthoxanthum odoratum
Alopecurus pratensis
Bromopsis erecta
Deschampsia cespitosa
Poa pratensis
Arrhenatherum elatius
Festuca pratensis
Molinia caerulea
Cynosurus cristatus
Festuca rubra
Agrostis Stolonifera
Lolium Perenne
Poa Trivialis
