Achillea millefolium
Angelica sylvestris
Brachythecium mildeanum
Briza media
Calliergonella cuspidata
Campylium stellatum v. protensum
Carex disticha
Carex flacca
Carex panicea
Centaurea nigra
Cirsium dissectum
Cirsium palustre
Dactylis glomerata
Equisetum species
Euphrasia officinalis ag.
Filipendula ulmaria
Helictotrichon pubescens
Plantago lanceolata
Primula veris
Ranunculus acris
Ranunculus repens
Rhinanthus minor
Rhytidiadelphus squarrosus
Thalictrum flavum
Trifolium pratense
Carex pulicaris
Festuca rubra
Fissidens adianthoides
Lophocolea bidentata
Succisa pratensis
Valeriana officinalis
Anthoxanthum odoratum
Bellis perennis
Bromopsis erecta
Cardamine pratensis
Cerastium fontanum
Crepis capillaris
Cynosurus cristatus
Festuca pratensis
Holcus lanatus
Luzula campestris
Lychnis flos-cuculi
Prunella vulgaris
Rumex acetosa
Deschampsia cespitosa
Iris pseudacorus
Molinia caerulea
Taraxacum officinale ag.
Trifolium repens
Alopecurus pratensis
Poa pratensis
Arrhenatherum elatius
Agrostis Stolonifera
Lolium Perenne
Poa Trivialis
