RELEVE_ID,SPECIES_NAME,DOMIN
3,Rumex acetosa,10
3,Taraxacum officinale ag.,10
4,Brachythecium mildeanum,10
4,Angelica sylvestris,10
5,Euphrasia officinalis ag.,10
5,Bellis perennis,10
6,Iris pseudacorus,10
6,Lychnis flos-cuculi,10
7,Lophocolea bidentata,10
7,Cynosurus cristatus,10
8,Trifolium repens,10
8,Arrhenatherum elatius,10
9,Rhinanthus minor,10
9,Plantago lanceolata,10
10,Trifolium repens,10
10,Rhinanthus minor,10
11,Trifolium pratense,10
11,Carex disticha,10
12,Festuca pratensis,10
12,Helictotrichon pubescens,10
13,Cardamine pratensis,10
13,Carex flacca,10
14,Cerastium fontanum,10
14,Primula veris,10
15,Iris pseudacorus,10
15,Calliergonella cuspidata,10
16,Alopecurus pratensis,10
16,Primula veris,10
17,Carex disticha,10
17,Trifolium pratense,10
18,Luzula campestris,10
18,Lolium Perenne,10
19,Thalictrum flavum,10
19,Rhytidiadelphus squarrosus,10
20,Deschampsia cespitosa,10
20,Rumex acetosa,10
21,Molinia caerulea,7
21,Filipendula ulmaria,7
21,Cirsium dissectum,7
21,Succisa pratensis,7
21,Trifolium pratense,7
21,Plantago lanceolata,7
21,Luzula campestris,7
21,Deschampsia cespitosa,7
21,Cerastium fontanum,7
21,Euphrasia officinalis ag.,7
21,Rumex acetosa,7
21,Ranunculus repens,7
21,Briza media,7
21,Iris pseudacorus,7
22,Taraxacum officinale ag.,7
22,Cerastium fontanum,7
22,Cardamine pratensis,7
22,Helictotrichon pubescens,7
22,Poa Trivialis,7
22,Cynosurus cristatus,7
22,Fissidens adianthoides,7
22,Alopecurus pratensis,7
22,Carex pulicaris,7
22,Thalictrum flavum,7
22,Euphrasia officinalis ag.,7
22,Carex panicea,7
23,Achillea millefolium,7
23,Rumex acetosa,7
23,Molinia caerulea,7
23,Carex flacca,7
23,Lolium Perenne,7
23,Cardamine pratensis,7
23,Trifolium repens,7
23,Plantago lanceolata,7
23,Lychnis flos-cuculi,7
23,Rhinanthus minor,7
23,Arrhenatherum elatius,7
23,Primula veris,7
23,Fissidens adianthoides,7
23,Cirsium dissectum,7
24,Thalictrum flavum,7
24,Lolium Perenne,7
24,Arrhenatherum elatius,7
24,Ranunculus acris,7
24,Filipendula ulmaria,7
24,Briza media,7
24,Poa pratensis,7
24,Crepis capillaris,7
24,Campylium stellatum v. protensum,7
24,Molinia caerulea,7
24,Anthoxanthum odoratum,7
24,Calliergonella cuspidata,7
25,Lophocolea bidentata,7
25,Carex flacca,7
25,Filipendula ulmaria,7
25,Euphrasia officinalis ag.,7
25,Calliergonella cuspidata,7
25,Rhinanthus minor,7
25,Angelica sylvestris,7
25,Cynosurus cristatus,7
25,Cerastium fontanum,7
25,Arrhenatherum elatius,7
25,Taraxacum officinale ag.,7
25,Iris pseudacorus,7
25,Achillea millefolium,7
25,Poa pratensis,7
26,Dactylis glomerata,7
26,Carex disticha,7
26,Lolium Perenne,7
26,Prunella vulgaris,7
26,Fissidens adianthoides,7
26,Rhytidiadelphus squarrosus,7
26,Poa pratensis,7
26,Festuca rubra,7
26,Succisa pratensis,7
26,Briza media,7
26,Rumex acetosa,7
26,Lychnis flos-cuculi,7
26,Deschampsia cespitosa,7
27,Filipendula ulmaria,7
27,Calliergonella cuspidata,7
27,Lophocolea bidentata,7
27,Arrhenatherum elatius,7
27,Cerastium fontanum,7
27,Carex disticha,7
27,Briza media,7
27,Lychnis flos-cuculi,7
27,Cardamine pratensis,7
27,Achillea millefolium,7
27,Campylium stellatum v. protensum,7
27,Poa Trivialis,7
27,Cirsium dissectum,7
28,Deschampsia cespitosa,7
28,Molinia caerulea,7
28,Poa pratensis,7
28,Cerastium fontanum,7
28,Prunella vulgaris,7
28,Iris pseudacorus,7
28,Anthoxanthum odoratum,7
28,Centaurea nigra,7
28,Dactylis glomerata,7
28,Primula veris,7
28,Equisetum species,7
28,Briza media,7
28,Cynosurus cristatus,7
32,Taraxacum officinale ag.,7
