ID,SITE_ID,RELEVE_ID,SPECIES_NAME,DOMIN
1,68,1,"Achillea millefolium",2
2,1,1,"Anthoxanthum odoratum",6
3,1,1,"Briza media",4
4,1,1,"Calliergonella cuspidata",2
5,1,1,"Carex flacca",5
6,1,1,"Carex pulicaris",3
7,1,1,"Centaurea nigra",2
8,1,1,"Dactylis glomerata",3
9,1,1,"Daucus carota",2
10,1,1,"Festuca rubra",5
11,1,1,"Fraxinus excelsior",0.1
12,1,1,"Helictotrichon pubescens",3
13,1,1,"Leontodon hispidus",3
14,1,1,"Leucanthemum vulgare",2
15,1,1,"Lotus corniculatus",2
16,1,1,"Orchis morio",0.1
17,1,1,"Plantago lanceolata",2
18,1,1,"Primula veris",4
19,1,1,"Ranunculus repens",0.1
20,1,1,"Rhytidiadelphus triquetrus",3
21,1,1,"Scleropodium purum",4
22,1,1,"Succisa pratensis",3
23,1,1,"Trifolium repens",2
24,1,1,"Viola species",2
25,1,2,"Achillea millefolium",2
26,1,2,"Agrostis stolonifera",4
27,1,2,"Anthoxanthum odoratum",4
28,1,2,"Centaurea nigra",2
29,1,2,"Dactylis glomerata",5
30,1,2,"Daucus carota",2
31,1,2,"Festuca rubra",5
32,1,2,"Helictotrichon pubescens",6
33,1,2,"Holcus lanatus",2
34,1,2,"Leucanthemum vulgare",2
35,1,2,"Primula veris",2
36,1,2,"Ranunculus repens",2
37,1,3,"Agrostis stolonifera",6
38,1,3,"Bellis perennis",3
39,1,3,"Bromus hordeaceus",2
40,1,3,"Cerastium fontanum",2
41,1,3,"Crepis vesicaria",0.1
42,1,3,"Dactylis glomerata",6
43,1,3,"Eurhynchium hians",2
44,1,3,"Heracleum sphondylium",2
45,1,3,"Holcus lanatus",4
46,1,3,"Leontodon hispidus",2
47,1,3,"Lolium perenne",2
48,1,3,"Plantago lanceolata",6
49,1,3,"Potentilla anserina",2
50,1,3,"Ranunculus acris",3
51,1,3,"Ranunculus repens",3
52,1,3,"Taraxacum officinale ag.",3
53,1,3,"Trifolium pratense",3
54,3,1,"Achillea millefolium",2
55,3,1,"Antennaria dioica",4
56,3,1,"Anthoxanthum odoratum",3
57,3,1,"Anthyllis vulneraria",2
58,3,1,"Bellis perennis",0.1
59,3,1,"Blackstonia perfoliata",0.1
60,3,1,"Briza media",6
61,3,1,"Calliergonella cuspidata",1
62,3,1,"Carex caryophyllea",3
63,3,1,"Carex flacca",4
64,3,1,"Carex pulicaris",3
65,3,1,"Centaurea nigra",2
66,3,1,"Crataegus monogyna",2
67,3,1,"Danthonia decumbens",4
68,3,1,"Euphrasia officinalis ag.",1
69,3,1,"Festuca rubra",3
70,3,1,"Galium verum",3
71,3,1,"Leontodon hispidus",4
72,3,1,"Leucanthemum vulgare",1
73,3,1,"Lotus corniculatus",3
74,3,1,"Luzula campestris",1
75,3,1,"Medicago lupulina",2
76,3,1,"Orchis species",0.1
77,3,1,"Pilosella officinarum",1
78,3,1,"Plantago lanceolata",2
79,3,1,"Polygala vulgaris",2
80,3,1,"Potentilla erecta",3
81,3,1,"Ranunculus bulbosus",2
82,3,1,"Scleropodium purum",1
83,3,1,"Succisa pratensis",6
84,3,1,"Thymus polytrichus",2
85,3,2,"Achillea millefolium",1
86,3,2,"Agrostis stolonifera",4
87,3,2,"Anthoxanthum odoratum",4
88,3,2,"Bellis perennis",3
89,3,2,"Blackstonia perfoliata",0.1
90,3,2,"Brachythecium rutabulum",2
91,3,2,"Briza media",4
92,3,2,"Calliergonella cuspidata",2
93,3,2,"Cerastium fontanum",2
94,3,2,"Cynosurus cristatus",2
95,3,2,"Dactylis glomerata",4
96,3,2,"Festuca rubra",4
97,3,2,"Galium verum",2
98,3,2,"Leontodon hispidus",3
99,3,2,"Lolium perenne",5
100,3,2,"Lotus corniculatus",3
101,3,2,"Luzula campestris",2
102,3,2,"Pilosella officinarum",3
103,3,2,"Plantago lanceolata",3
104,3,2,"Polygala vulgaris",2
105,3,2,"Primula veris",3
106,3,2,"Ranunculus bulbosus",4
107,3,2,"Ranunculus repens",3
108,3,2,"Rhytidiadelphus squarrosus",3
109,3,2,"Scleropodium purum",2
110,3,2,"Succisa pratensis",2
111,3,2,"Taraxacum officinale ag.",2
112,3,2,"Trifolium pratense",4
113,7,1,"Agrostis stolonifera",5
114,7,1,"Calliergonella cuspidata",4
115,7,1,"Cardamine pratensis",2
116,7,1,"Carex flacca",2
117,7,1,"Carex panicea",2
118,7,1,"Cerastium fontanum",2
119,7,1,"Cirsium palustre",3
120,7,1,"Cynosurus cristatus",1
121,7,1,"Dactylorhiza fuchsii",2
122,7,1,"Epilobium parviflorum",2
123,7,1,"Equisetum arvense",2
124,7,1,"Galium palustre",1
125,7,1,"Holcus lanatus",5
126,7,1,"Juncus acutiflorus",8
