ID,SITE_ID,RELEVE_ID,SPECIES_NAME,DOMIN
1,68,1,Achillea millefolium,0.5
1521,68,1,Angelica sylvestris,3.0
1522,68,1,Brachythecium mildeanum,3.0
1523,68,1,Briza media,0.5
1524,68,1,Calliergonella cuspidata,8.0
1525,68,1,Campylium stellatum v. protensum,0.1
1526,68,1,Carex disticha,18.0
1527,68,1,Carex flacca,30.0
1528,68,1,Carex panicea,30.0
1529,68,1,Centaurea nigra,3.0
1530,68,1,Cirsium dissectum,18.0
1531,68,1,Cirsium palustre,0.3
1532,68,1,Dactylis glomerata,0.5
1533,68,1,Equisetum species,0.5
1534,68,1,Euphrasia officinalis ag.,0.5
1535,68,1,Filipendula ulmaria,8.0
1536,68,1,Helictotrichon pubescens,8.0
1537,68,1,Plantago lanceolata,3.0
1538,68,1,Primula veris,0.5
1539,68,1,Ranunculus acris,3.0
1540,68,1,Ranunculus repens,3.0
1541,68,1,Rhinanthus minor,0.5
1542,68,1,Rhytidiadelphus squarrosus,3.0
1543,68,1,Thalictrum flavum,3.0
1544,68,1,Trifolium pratense,0.5
1545,68,2,Brachythecium mildeanum,0.1
1546,68,2,Calliergonella cuspidata,3.0
1547,68,2,Carex panicea,30.0
1548,68,2,Carex pulicaris,18.0
1549,68,2,Centaurea nigra,8.0
1550,68,2,Equisetum species,0.5
1551,68,2,Euphrasia officinalis ag.,0.5
1552,68,2,Festuca rubra,18.0
1553,68,2,Filipendula ulmaria,8.0
1554,68,2,Fissidens adianthoides,0.1
1555,68,2,Lophocolea bidentata,0.1
1556,68,2,Molinia caerulea,42.0
1557,68,2,Plantago lanceolata,3.0
1558,68,2,Rhytidiadelphus squarrosus,3.0
1559,68,2,Succisa pratensis,30.0
1560,68,2,Thalictrum flavum,0.5
1561,68,2,Trifolium pratense,0.5
1562,68,2,Valeriana officinalis,0.5
1563,68,3,Anthoxanthum odoratum,8.0
1564,68,3,Bellis perennis,0.5
1565,68,3,Briza media,0.5
1566,68,3,Bromopsis erecta,18.0
1567,68,3,Calliergonella cuspidata,0.3
1568,68,3,Cardamine pratensis,0.3
1569,68,3,Carex panicea,8.0
1570,68,3,Centaurea nigra,30.0
1571,68,3,Cerastium fontanum,0.5
1572,68,3,Cirsium dissectum,18.0
1573,68,3,Crepis capillaris,8.0
1574,68,3,Cynosurus cristatus,30.0
1575,68,3,Equisetum species,0.5
1576,68,3,Euphrasia officinalis ag.,0.5
1577,68,3,Festuca pratensis,18.0
1578,68,3,Festuca rubra,18.0
1579,68,3,Filipendula ulmaria,30.0
1580,68,3,Helictotrichon pubescens,0.5
1581,68,3,Holcus lanatus,3.0
1582,68,3,Luzula campestris,0.3
1583,68,3,Lychnis flos-cuculi,0.3
1584,68,3,Plantago lanceolata,18.0
1585,68,3,Prunella vulgaris,0.3
1586,68,3,Ranunculus acris,18.0
1587,68,3,Rhinanthus minor,0.5
1588,68,3,Rumex acetosa,0.5
1589,68,3,Trifolium pratense,30.0
1590,68,4,Angelica sylvestris,0.5
1591,68,4,Anthoxanthum odoratum,3.0
1592,68,4,Carex panicea,30.0
1593,68,4,Carex pulicaris,0.1
1594,68,4,Centaurea nigra,3.0
1595,68,4,Cirsium dissectum,0.5
1596,68,4,Cirsium palustre,0.3
1597,68,4,Crepis capillaris,0.5
1598,68,4,Deschampsia cespitosa,0.5
1599,68,4,Equisetum species,0.5
1600,68,4,Festuca rubra,30.0
1601,68,4,Filipendula ulmaria,30.0
1602,68,4,Holcus lanatus,3.0
1603,68,4,Iris pseudacorus,0.1
1604,68,4,Molinia caerulea,3.0
1605,68,4,Plantago lanceolata,30.0
1606,68,4,Ranunculus acris,0.5
1607,68,4,Succisa pratensis,3.0
1608,68,4,Taraxacum officinale ag.,0.3
1609,68,4,Thalictrum flavum,0.5
1610,68,4,Trifolium repens,0.3
1611,68,4,Valeriana officinalis,18.0
