RELEVE_ID,SPECIES_NAME,DOMIN
30,Agrostis stolonifera,0.5
30,Anthoxanthum odoratum,0.5
30,Calliergonella cuspidata,0.5
30,Carex nigra,0.3
30,Carex panicea,3.0
30,Centaurea nigra,0.3
30,Deschampsia cespitosa,0.3
30,Festuca arundinacea,0.5
30,Festuca rubra,0.3
30,Filipendula ulmaria,0.5
30,Fissidens dubius,0.1
30,Galium palustre,0.5
30,Holcus lanatus,0.3
30,Juncus acutiflorus,0.5
30,Molinia caerulea,3.0
30,Plantago lanceolata,0.5
30,Rhinanthus minor,0.5
30,Succisa pratensis,0.3
30,Taraxacum officinale ag.,0.1
30,Valeriana officinalis,0.5
31,Agrostis stolonifera,0.3
31,Anthoxanthum odoratum,0.3
31,Briza media,0.3
31,Calliergonella cuspidata,0.1
31,Carex panicea,3.0
31,Carex pulicaris,0.3
31,Centaurea nigra,0.5
31,Cirsium dissectum,3.0
31,Climacium dendroides,0.1
31,Danthonia decumbens,0.5
31,Festuca arundinacea,0.1
31,Festuca rubra,3.0
31,Filipendula ulmaria,0.3
31,Fissidens dubius,0.1
31,Galium palustre,0.1
31,Holcus lanatus,0.5
31,Juncus acutiflorus,0.5
31,Linum catharticum,0.1
31,Luzula multiflora,0.1
31,Molinia caerulea,3.0
31,Ophioglossum vulgatum,0.5
31,Plantago lanceolata,0.5
31,Succisa pratensis,0.3
31,Taraxacum officinale ag.,0.1
31,Valeriana officinalis,0.3
32,Agrostis stolonifera,0.3
32,Anthoxanthum odoratum,0.5
32,Calliergonella cuspidata,0.5
32,Carex flacca,0.5
32,Carex panicea,0.5
32,Centaurea nigra,0.5
32,Cirsium dissectum,3.0
32,Dactylis glomerata,0.1
32,Deschampsia cespitosa,0.1
32,Festuca rubra,3.0
32,Filipendula ulmaria,0.5
32,Galium palustre,0.1
32,Helictotrichon pubescens,0.3
32,Holcus lanatus,0.3
32,Juncus acutiflorus,0.5
32,Linum catharticum,0.3
32,Luzula multiflora,0.1
32,Molinia caerulea,3.0
32,Ophioglossum vulgatum,0.1
32,Plantago lanceolata,0.5
32,Ranunculus acris,0.5
32,Rhytidiadelphus squarrosus,0.1
32,Succisa pratensis,0.3
32,Taraxacum officinale ag.,0.5
32,Thalictrum flavum,3.0
32,Trifolium pratense,0.5
32,Valeriana officinalis,0.5
33,Anthoxanthum odoratum,0.3
33,Briza media,0.3
33,Calliergonella cuspidata,0.3
33,Carex flacca,0.5
33,Carex nigra,0.5
33,Carex panicea,0.5
33,Carex pulicaris,0.3
33,Centaurea nigra,0.3
33,Cirsium dissectum,3.0
33,Climacium dendroides,0.1
33,Deschampsia cespitosa,0.1
33,Equisetum palustre,0.1
33,Festuca arundinacea,0.3
33,Festuca rubra,0.5
33,Galium palustre,0.1
33,Helictotrichon pubescens,0.3
33,Holcus lanatus,0.3
33,Hypochaeris radicata,0.1
33,Linum catharticum,0.3
33,Molinia caerulea,3.0
33,Ophioglossum vulgatum,0.1
33,Plantago lanceolata,0.3
33,Rhinanthus minor,0.1
33,Succisa pratensis,0.5
33,Thalictrum flavum,0.5
33,Trifolium pratense,0.3
33,Valeriana officinalis,0.5
34,Agrostis stolonifera,0.3
34,Anthoxanthum odoratum,0.5
34,Briza media,0.1
34,Calliergonella cuspidata,0.3
34,Carex flacca,0.1
34,Carex nigra,0.3
34,Carex panicea,3.0
34,Centaurea nigra,0.3
34,Cerastium fontanum,0.1
34,Cirsium dissectum,0.1
34,Cirsium palustre,0.3
34,Climacium dendroides,0.1
34,Deschampsia cespitosa,0.1
34,Festuca rubra,0.5
34,Filipendula ulmaria,3.0
34,Galium palustre,0.1
34,Holcus lanatus,0.5
34,Linum catharticum,0.1
34,Molinia caerulea,0.5
34,Plantago lanceolata,0.5
34,Ranunculus acris,0.1
34,Succisa pratensis,0.5
34,Taraxacum officinale ag.,0.1
34,Thalictrum flavum,0.1
34,Valeriana officinalis,0.5
