Agrostis stolonifera
Anthoxanthum odoratum
Briza media
Calliergonella cuspidata
Carex flacca
Carex nigra
Carex panicea
Carex pulicaris
Centaurea nigra
Cerastium fontanum
Cirsium dissectum
Cirsium palustre
Climacium dendroides
Dactylis glomerata
Danthonia decumbens
Deschampsia cespitosa
Equisetum palustre
Festuca arundinacea
Festuca rubra
Filipendula ulmaria
Fissidens dubius
Galium palustre
Helictotrichon pubescens
Holcus lanatus
Hypochaeris radicata
Juncus acutiflorus
Linum catharticum
Luzula multiflora
Molinia caerulea
Ophioglossum vulgatum
Plantago lanceolata
Ranunculus acris
Rhinanthus minor
Rhytidiadelphus squarrosus
Succisa pratensis
Taraxacum officinale ag.
Thalictrum flavum
Trifolium pratense
Valeriana officinalis
