Agrostis stolonifera
Alopecurus pratensis
Angelica sylvestris
Anthoxanthum odoratum
Arrhenatherum elatius
Bellis perennis
Briza media
Bromopsis erecta
Calliergonella cuspidata
Caltha palustris
Cardamine pratensis
Carex acutiformis
Carex disticha
Carex flacca
Carex nigra
Carex panicea
Carex pulicaris
Carex vesicaria
Centaurea nigra
Cerastium fontanum
Chamerion angustifolium
Cirsium arvense
Cirsium dissectum
Cirsium palustre
Climacium dendroides
Crepis capillaris
Cynosurus cristatus
Dactylis glomerata
Dactylorhiza incarnata
Danthonia decumbens
Deschampsia cespitosa
Equisetum arvense
Equisetum palustre
Eriophorum angustifolium
Euphrasia officinalis agg.
Festuca arundinacea
Festuca pratensis
Festuca rubra
Filipendula ulmaria
Fissidens dubius
Galium palustre
Helictotrichon pubescens
Holcus lanatus
Hypochaeris radicata
Iris pseudacorus
Juncus acutiflorus
Juncus inflexus
Linum catharticum
Lotus corniculatus
Luzula campestris
Luzula multiflora
Lychnis flos-cuculi
Molinia caerulea
Ophioglossum vulgatum
Persicaria amphibia
Plantago lanceolata
Poa pratensis
Primula veris
Prunella vulgaris
Ranunculus acris
Ranunculus repens
Rhinanthus minor
Rhytidiadelphus squarrosus
Rumex acetosa
Succisa pratensis
Taraxacum aggregate
Taraxacum officinale ag.
Thalictrum flavum
Trifolium pratense
Trifolium repens
Valeriana officinalis
Vicia cracca
