RELEVE_ID,SPECIES_NAME,GRID_NO,DOMIN
1,Dactylis Glomerata,1,8.0
1,Agrostis Stolonifera,1,42.0
1,Lolium Perenne,1,42.0
1,Ranunculus Repens,1,0.1
1,Stellaria Media,1,0.1
1,Taraxacum Aggregate,1,0.1
2,Agrostis Stolonifera,1,83.0
2,Lolium Perenne,1,3.0
2,Rumex Obtusifolius,1,18.0
2,Ranunculus Repens,1,0.1
2,Taraxacum Aggregate,1,8.0
2,Ranunculus Acris,1,0.1
2,Cerastium Fontanum,1,0.1
3,Deschampsia Cepitosa,2,3.0
3,Agrostis Stolonifera,2,30.0
3,Phragmites Australis,2,63.0
3,Poa Trivialis,2,3.0
3,Dactylis Glomerata,2,3.0
3,Ranunculus repens,2,0.1
3,Juncus Inflexus,2,63.0
4,Phragmites Australis,2,3.0
4,Lolium Perenne,2,8.0
4,Rumex Obtusifolius,2,0.1
4,Agrostis Stolonifera,2,63.0
5,Agrostis Stolonifera,2,8.0
5,Agrostis Capillaris,2,30.0
5,Cirsium Arvense,2,30.0
5,Ranunculus Acris,2,0.1
5,Cerastium Fontanum,2,0.1
5,Taraxacum Aggregate,2,8.0
6,Agrostis Stolonifera,3,83.0
6,Lolium Perenne,3,18.0
6,Cerastium Fontanum,3,0.1
6,Ranunculus Repens,3,0.1
7,Agrostis Stolonifera,4,83.0
7,Lolium Perenne,4,18.0
7,Taraxacum aggregate,4,3.0
8,Agrostis Stolonifera,5,42.0
8,Trifolium Repens,5,18.0
8,Poa Annua,5,8.0
8,Lolium Perenne,5,42.0
8,Ranunculus Repens,5,0.1
8,Cirsium Arvense,5,0.1
8,Cerastium Fontanum,5,0.1
8,Taraxacum Aggregate,5,0.1
8,Ranunculus Acris,5,0.1
9,Holcus Lanatus,6,18.0
9,Molinea Cerulea,6,8.0
9,Festuca Rubra,6,8.0
9,Rumex Obtusifolius,6,0.5
9,Cirsium Arvense,6,3.0
10,Alopercurus Pratensis,6,63.0
10,Agrostis Stolonifera,6,3.0
10,Cirsium Arvense,6,3.0
10,Ranunculus Repens,6,42.0
28,Anthoxanthum odoratum,2,8.0
28,Holcus lanatus,2,42.0
28,Poa pratensis,2,0.1
28,Ranunculus repens,2,0.3
28,Lolium perenne,2,18.0
28,Bromus hordeaceus,2,42.0
28,Cardamine pratensis,2,0.1
30,Anthoxanthum odoratum,2,8.0
30,Holcus lanatus,2,30.0
30,Ranunculus repens,2,0.5
30,Lolium perenne,2,0.1
30,Cerastium fontanum,2,0.1
30,Bromus hordeaceus,2,63.0
30,Cardamine pratensis,2,0.1
30,Poa trivialis,2,0.5
31,Anthoxanthum odoratum,3,63.0
31,Festuca rubra,3,30.0
31,Holcus lanatus,3,18.0
31,Ranunculus repens,3,0.3
31,Rumex acetosa,3,0.1
31,Taraxacum officinale,3,0.5
31,Lolium perenne,3,3.0
31,Cerastium fontanum,3,0.1
