RELEVE_ID,SPECIES_NAME,GRID_NO,DOMIN
1,Dactylis glomerata,1,8.0
1,Agrostis stolonifera,1,42.0
1,Lolium perenne,1,42.0
1,Ranunculus repens,1,0.1
1,Stellaria media,1,0.1
1,Taraxacum aggregate,1,0.1
2,Agrostis stolonifera,1,83.0
2,Lolium perenne,1,3.0
2,Rumex obtusifolius,1,18.0
2,Ranunculus repens,1,0.1
2,Taraxacum aggregate,1,8.0
2,Ranunculus acris,1,0.1
2,Cerastium fontanum,1,0.1
3,Deschampsia cepitosa,2,3.0
3,Agrostis stolonifera,2,30.0
3,Phragmites australis,2,63.0
3,Poa trivialis,2,3.0
3,Dactylis glomerata,2,3.0
3,Ranunculus repens,2,0.1
3,Juncus inflexus,2,63.0
4,Phragmites australis,2,3.0
4,Lolium perenne,2,8.0
4,Rumex obtusifolius,2,0.1
4,Agrostis stolonifera,2,63.0
5,Agrostis stolonifera,2,8.0
5,Agrostis capillaris,2,30.0
5,Cirsium arvense,2,30.0
5,Ranunculus acris,2,0.1
5,Cerastium fontanum,2,0.1
5,Taraxacum aggregate,2,8.0
6,Agrostis stolonifera,3,83.0
6,Lolium perenne,3,18.0
6,Cerastium fontanum,3,0.1
6,Ranunculus repens,3,0.1
7,Agrostis stolonifera,4,83.0
7,Lolium perenne,4,18.0
7,Taraxacum aggregate,4,3.0
8,Agrostis stolonifera,5,42.0
8,Trifolium repens,5,18.0
8,Poa annua,5,8.0
8,Lolium perenne,5,42.0
8,Ranunculus repens,5,0.1
8,Cirsium arvense,5,0.1
8,Cerastium fontanum,5,0.1
8,Taraxacum aggregate,5,0.1
8,Ranunculus acris,5,0.1
9,Holcus lanatus,6,18.0
9,Molinea cerulea,6,8.0
9,Festuca rubra,6,8.0
9,Rumex obtusifolius,6,0.5
9,Cirsium arvense,6,3.0
10,Alopercurus pratensis,6,63.0
10,Agrostis stolonifera,6,3.0
10,Cirsium arvense,6,3.0
10,Ranunculus repens,6,42.0
28,Anthoxanthum odoratum,2,8.0
28,Holcus lanatus,2,42.0
28,Poa pratensis,2,0.1
28,Ranunculus repens,2,0.3
28,Lolium perenne,2,18.0
28,Bromus hordeaceus,2,42.0
28,Cardamine pratensis,2,0.1
30,Anthoxanthum odoratum,2,8.0
30,Holcus lanatus,2,30.0
30,Ranunculus repens,2,0.5
30,Lolium perenne,2,0.1
30,Cerastium fontanum,2,0.1
30,Bromus hordeaceus,2,63.0
30,Cardamine pratensis,2,0.1
30,Poa trivialis,2,0.5
31,Anthoxanthum odoratum,3,63.0
31,Festuca rubra,3,30.0
31,Holcus lanatus,3,18.0
31,Ranunculus repens,3,0.3
31,Rumex acetosa,3,0.1
31,Taraxacum officinale,3,0.5
31,Lolium perenne,3,3.0
31,Cerastium fontanum,3,0.1
31,Cardamine pratensis,3,0.3
31,Poa trivialis,3,30.0
32,Alopecurus pratensis,3,0.1
