RELEVE_ID,SPECIES_NAME,GRID_NO,DOMIN
30,Anthoxanthum odoratum,2,8.0
30,Holcus lanatus,2,30.0
30,Ranunculus repens,2,0.5
30,Lolium perenne,2,0.1
30,Cerastium fontanum,2,0.1
30,Bromus hordeaceus,2,63.0
30,Cardamine pratensis,2,0.1
30,Poa trivialis,2,0.5
31,Anthoxanthum odoratum,3,63.0
31,Festuca rubra,3,30.0
31,Holcus lanatus,3,18.0
31,Ranunculus repens,3,0.3
31,Rumex acetosa,3,0.1
31,Taraxacum officinale,3,0.5
31,Lolium perenne,3,3.0
31,Cerastium fontanum,3,0.1
31,Cardamine pratensis,3,0.3
31,Poa trivialis,3,30.0
32,Alopecurus pratensis,3,0.1
32,Anthoxanthum odoratum,3,0.3
32,Dactylis glomerata,3,0.5
32,Holcus lanatus,3,63.0
32,Cardamine pratensis,3,0.3
32,Poa trivialis,3,18.0
33,Anthoxanthum odoratum,3,63.0
33,Festuca rubra,3,18.0
33,Filipendula ulmaria,3,0.1
33,Holcus lanatus,3,30.0
33,Ranunculus repens,3,0.3
33,Cerastium fontanum,3,0.5
33,Cardamine pratensis,3,0.1
33,Carex dioica,3,0.5
34,Ranunculus repens,4,0.3
34,Poa trivialis,4,3.0
34,Phragmites australis,4,83.0
35,Holcus lanatus,4,83.0
35,Taraxacum officinale,4,0.1
35,Rumex obtusifolius,4,0.1
35,Bromus hordeaceus,4,0.5
35,Cardamine pratensis,4,0.3
35,Poa trivialis,4,8.0
36,Filipendula ulmaria,4,0.1
36,Holcus lanatus,4,83.0
36,Poa pratensis,4,8.0
36,Ranunculus repens,4,0.1
36,Taraxacum officinale,4,0.1
36,Bromus hordeaceus,4,0.1
36,Cardamine pratensis,4,0.3
37,Holcus lanatus,5,83.0
37,Ranunculus repens,5,0.1
37,Bromus hordeaceus,5,0.5
37,Poa trivialis,5,3.0
38,Anthoxanthum odoratum,5,8.0
38,Filipendula ulmaria,5,0.1
38,Holcus lanatus,5,42.0
38,Ranunculus acris,5,0.1
38,Cerastium fontanum,5,0.1
38,Bromus hordeaceus,5,0.5
38,Poa trivialis,5,8.0
38,Lolium multiflorum,5,8.0
