RELEVE_ID,SPECIES_NAME,GRID_NO,DOMIN
39,Carex flacca,7,18.0
39,Festuca rubra,7,0.3
39,Filipendula ulmaria,7,42.0
39,Plantago lanceolata,7,42.0
39,Ranunculus acris,7,0.3
39,Eupatorium cannabinum,7,3.0
39,Silene vulgaris,7,0.1
40,Anthoxanthum odoratum,7,8.0
40,Caltha palustris,7,0.5
40,Carex acutiformis,7,42.0
40,Carex nigra,7,0.5
40,Festuca rubra,7,0.5
40,Filipendula ulmaria,7,0.1
40,Galium palustre,7,0.1
40,Holcus lanatus,7,0.3
40,Cardamine pratensis,7,0.5
40,Phragmites australis,7,0.5
41,Anthoxanthum odoratum,8,0.5
41,Carex flacca,8,63.0
41,Centaurea nigra,8,0.1
41,Festuca rubra,8,3.0
41,Filipendula ulmaria,8,3.0
41,Hypochaeris radicata,8,0.1
41,Plantago lanceolata,8,63.0
41,Taraxacum officinale,8,0.3
42,Anthoxanthum odoratum,8,0.1
42,Carex flacca,8,63.0
42,Festuca rubra,8,0.5
42,Filipendula ulmaria,8,18.0
42,Veronica chamaedrys,8,0.1
43,Anthoxanthum odoratum,9,0.5
43,Festuca rubra,9,42.0
43,Filipendula ulmaria,9,3.0
43,Plantago lanceolata,9,30.0
43,Plantago major,9,0.1
44,Caltha palustris,9,0.1
44,Festuca rubra,9,63.0
44,Filipendula ulmaria,9,0.5
44,Galium palustre,9,0.1
44,Juncus acutiflorus,9,8.0
44,Phragmites australis,9,8.0
45,Cirsium palustre,10,0.1
45,Equisetum palustre,10,0.1
45,Festuca rubra,10,83.0
45,Filipendula ulmaria,10,30.0
45,Iris pseudacorus,10,3.0
45,Plantago lanceolata,10,8.0
46,Anthoxanthum odoratum,10,0.3
46,Carex flacca,10,8.0
46,Centaurea nigra,10,8.0
46,Cirsium palustre,10,8.0
46,Festuca rubra,10,30.0
46,Filipendula ulmaria,10,42.0
46,Holcus lanatus,10,0.5
46,Plantago lanceolata,10,8.0
47,Carex nigra,11,0.5
47,Cirsium dissectum,11,0.5
47,Festuca rubra,11,42.0
47,Filipendula ulmaria,11,42.0
47,Holcus lanatus,11,0.1
47,Plantago lanceolata,11,0.5
47,Poa trivialis,11,3.0
48,Anthoxanthum odoratum,11,8.0
48,Carex flacca,11,0.3
48,Centaurea nigra,11,3.0
48,Equisetum palustre,11,0.1
48,Festuca rubra,11,30.0
48,Filipendula ulmaria,11,42.0
48,Plantago lanceolata,11,8.0
48,Taraxacum officinale,11,0.1
49,Anthoxanthum odoratum,12,8.0
49,Carex flacca,12,30.0
49,Centaurea nigra,12,3.0
49,Equisetum palustre,12,0.1
49,Festuca rubra,12,42.0
49,Filipendula ulmaria,12,30.0
49,Holcus lanatus,12,0.3

