RELEVE_ID,SPECIES_NAME,GRID_NO,DOMIN
74,Filipendula ulmaria,25,3.0
74,Angelica sylvestris,25,0.1
74,Anthoxanthum odoratum,25,0.5
74,Carex flacca,25,8.0
74,Carex nigra,25,0.1
74,Centaurea nigra,25,0.5
74,Dactylis glomerata,25,0.5
74,Equisetum palustre,25,0.5
74,Festuca rubra,25,8.0
74,Holcus lanatus,25,0.5
74,Linum catharticum,25,0.3
74,Lotus corniculatus,25,42.0
74,Persicaria amphibia,25,0.1
74,Plantago lanceolata,25,30.0
74,Poa pratensis,25,83.0
74,Ranunculus acris,25,8.0
74,Succisa pratensis,25,0.3
74,Taraxacum officinale,25,0.3
74,Thalictrum flavum,25,0.3
74,Trifolium pratense,25,18.0
75,Filipendula ulmaria,26,8.0
75,Anthoxanthum odoratum,26,0.5
75,Briza media,26,8.0
75,Carex flacca,26,30.0
75,Centaurea nigra,26,0.5
75,Cirsium dissectum,26,30.0
75,Equisetum palustre,26,0.5
75,Festuca rubra,26,30.0
75,Holcus lanatus,26,30.0
75,Lotus corniculatus,26,8.0
75,Plantago lanceolata,26,8.0
75,Ranunculus repens,26,0.5
75,Succisa pratensis,26,8.0
75,Taraxacum officinale,26,0.3
75,Thalictrum flavum,26,0.1
75,Trifolium pratense,26,8.0
75,Valeriana officinalis,26,0.1
75,Poa trivialis,26,8.0
75,Ranunculus flammula,26,8.0
75,Dactylorhiza fuchsii,26,0.1
76,Filipendula ulmaria,27,18.0
76,Briza media,27,3.0
76,Carex flacca,27,30.0
76,Carex nigra,27,42.0
76,Centaurea nigra,27,0.3
76,Cirsium dissectum,27,30.0
76,Cirsium palustre,27,0.1
76,Equisetum palustre,27,0.5
76,Holcus lanatus,27,3.0
76,Hypochaeris radicata,27,0.1
76,Molinia caerulea,27,18.0
76,Plantago lanceolata,27,8.0
76,Ranunculus acris,27,3.0
76,Ranunculus repens,27,3.0
76,Succisa pratensis,27,0.3
76,Taraxacum officinale,27,0.3
76,Valeriana officinalis,27,8.0
76,Vicia cracca,27,0.3
76,Poa trivialis,27,8.0
77,Filipendula ulmaria,19,8.0
77,Carex flacca,19,3.0
77,Equisetum palustre,19,42.0
77,Festuca rubra,19,8.0
77,Galium palustre,19,8.0
77,Holcus lanatus,19,30.0
77,Molinia caerulea,19,63.0
77,Persicaria amphibia,19,0.1
77,Ranunculus repens,19,0.3
77,Rumex acetosa,19,0.5
77,Taraxacum officinale,19,0.5
77,Trifolium repens,19,0.3
77,Poa trivialis,19,3.0
77,Phragmites australis,19,18.0
77,Juncus effusus,19,0.5
78,Filipendula ulmaria,20,8.0
78,Anthoxanthum odoratum,20,30.0
78,Briza media,20,0.1
78,Carex flacca,20,0.3
78,Cirsium palustre,20,0.1
78,Cynosurus cristatus,20,0.1
78,Deschampsia cespitosa,20,0.3
78,Equisetum palustre,20,0.1
78,Festuca rubra,20,63.0
78,Holcus lanatus,20,30.0
78,Molinia caerulea,20,0.5
78,Plantago lanceolata,20,18.0
78,Ranunculus acris,20,0.1
78,Ranunculus repens,20,8.0
78,Taraxacum officinale,20,0.1
78,Trifolium repens,20,8.0
78,Cerastium fontanum,20,0.1
78,Juncus effusus,20,0.5
78,Kindbergia praelonga,20,0.1
79,Filipendula ulmaria,21,0.3
79,Anthoxanthum odoratum,21,18.0
79,Carex flacca,21,83.0
79,Cynosurus cristatus,21,0.1
79,Equisetum palustre,21,0.1
79,Holcus lanatus,21,3.0
79,Linum catharticum,21,0.1
79,Lychnis flos-cuculi,21,0.3
79,Molinia caerulea,21,0.5
79,Plantago lanceolata,21,30.0
79,Ranunculus acris,21,0.1
79,Taraxacum officinale,21,0.3
79,Trifolium repens,21,0.5
79,Juncus effusus,21,0.3
79,Kindbergia praelonga,21,0.3
80,Filipendula ulmaria,21,8.0
80,Anthoxanthum odoratum,21,0.5
80,Carex flacca,21,63.0
80,Centaurea nigra,21,0.1
80,Deschampsia cespitosa,21,0.1
80,Equisetum palustre,21,0.3
80,Holcus lanatus,21,8.0
80,Lychnis flos-cuculi,21,0.1
80,Plantago lanceolata,21,8.0
80,Ranunculus acris,21,0.3
80,Ranunculus repens,21,0.3
80,Succisa pratensis,21,42.0
80,Cerastium fontanum,21,0.3
81,Filipendula ulmaria,22,0.1
81,Deschampsia cespitosa,22,0.1
81,Equisetum palustre,22,0.3
81,Festuca rubra,22,8.0
81,Holcus lanatus,22,8.0
81,Iris pseudacorus,22,18.0
81,Molinia caerulea,22,30.0
81,Phragmites australis,22,42.0
82,Filipendula ulmaria,22,18.0
82,Anthoxanthum odoratum,22,8.0
82,Briza media,22,0.3
82,Carex flacca,22,83.0
82,Deschampsia cespitosa,22,0.5
82,Equisetum palustre,22,0.1
82,Holcus lanatus,22,0.5
82,Molinia caerulea,22,8.0
82,Plantago lanceolata,22,18.0
82,Ranunculus repens,22,0.1
82,Taraxacum officinale,22,18.0
82,Trifolium repens,22,0.1
82,Kindbergia praelonga,22,8.0
83,Filipendula ulmaria,23,8.0
83,Anthoxanthum odoratum,23,8.0
83,Carex flacca,23,18.0
83,Carex nigra,23,0.1
83,Cynosurus cristatus,23,0.3
83,Dactylis glomerata,23,0.1
83,Deschampsia cespitosa,23,3.0
83,Equisetum palustre,23,0.3
83,Festuca rubra,23,0.3
83,Galium palustre,23,0.1
83,Holcus lanatus,23,3.0
83,Iris pseudacorus,23,0.3
83,Molinia caerulea,23,0.3
83,Plantago lanceolata,23,3.0
83,Ranunculus acris,23,0.3
83,Ranunculus repens,23,0.5
83,Trifolium repens,23,0.1
83,Juncus effusus,23,0.1
83,Kindbergia praelonga,23,8.0
