RELEVE_ID,SPECIES_NAME,GRID_NO,DOMIN
39,Carex flacca,7,5
39,Festuca rubra,7,1
39,Filipendula ulmaria,7,7
39,Plantago lanceolata,7,7
39,Ranunculus acris,7,1
39,Eupatorium cannabinum,7,3
39,Silene vulgaris,7,0.1
40,Anthoxanthum odoratum,7,4
40,Caltha palustris,7,2
40,Carex acutiformis,7,7
40,Carex nigra,7,2
40,Festuca rubra,7,2
40,Filipendula ulmaria,7,0.1
40,Galium palustre,7,0.1
40,Holcus lanatus,7,1
40,Cardamine pratensis,7,2
40,Phragmites australis,7,2
41,Anthoxanthum odoratum,8,2
41,Carex flacca,8,8
41,Centaurea nigra,8,0.1
41,Festuca rubra,8,3
41,Filipendula ulmaria,8,3
41,Hypochaeris radicata,8,0.1
41,Plantago lanceolata,8,8
41,Taraxacum officinale,8,1
42,Anthoxanthum odoratum,8,0.1
42,Carex flacca,8,8
42,Festuca rubra,8,2
42,Filipendula ulmaria,8,5
42,Veronica chamaedrys,8,0.1
43,Anthoxanthum odoratum,9,2
43,Festuca rubra,9,7
43,Filipendula ulmaria,9,3
43,Plantago lanceolata,9,6
43,Plantago major,9,0.1
44,Caltha palustris,9,0.1
44,Festuca rubra,9,8
44,Filipendula ulmaria,9,2
44,Galium palustre,9,0.1
44,Juncus acutiflorus,9,4
44,Phragmites australis,9,4
45,Cirsium palustre,10,0.1
45,Equisetum palustre,10,0.1
45,Festuca rubra,10,9
45,Filipendula ulmaria,10,6
45,Iris pseudacorus,10,3
45,Plantago lanceolata,10,4
46,Anthoxanthum odoratum,10,1
46,Carex flacca,10,4
46,Centaurea nigra,10,4
46,Cirsium palustre,10,4
46,Festuca rubra,10,6
46,Filipendula ulmaria,10,7
46,Holcus lanatus,10,2
46,Plantago lanceolata,10,4
47,Carex nigra,11,2
47,Cirsium dissectum,11,2
47,Festuca rubra,11,7
47,Filipendula ulmaria,11,7
47,Holcus lanatus,11,0.1
47,Plantago lanceolata,11,2
47,Poa trivialis,11,3
48,Anthoxanthum odoratum,11,4
48,Carex flacca,11,1
48,Centaurea nigra,11,3
48,Equisetum palustre,11,0.1
48,Festuca rubra,11,6
48,Filipendula ulmaria,11,7
48,Plantago lanceolata,11,4
48,Taraxacum officinale,11,0.1
49,Anthoxanthum odoratum,12,4
49,Carex flacca,12,6
49,Centaurea nigra,12,3
49,Equisetum palustre,12,0.1
49,Festuca rubra,12,7
49,Filipendula ulmaria,12,6
49,Holcus lanatus,12,1
50,Anthoxanthum odoratum,12,4
50,Carex acutiformis,12,4
50,Carex flacca,12,3
50,Festuca rubra,12,3
50,Filipendula ulmaria,12,5
50,Holcus lanatus,12,1
50,Plantago lanceolata,12,3
50,Ranunculus acris,12,0.1
50,Ranunculus repens,12,1
50,Rumex acetosa,12,5
50,Taraxacum officinale,12,2
50,Cerastium fontanum,12,0.1
50,Cardamine pratensis,12,0.1
